product_id,product_name,category,subcategory,cost_price
1,Chair,Home,Chair,3596.37
2,Jacket,Clothing,Jacket,1745.65
3,Phone,Electronics,Phone,839.07
4,Table,Home,Table,3561.45
5,Headphones,Electronics,Headphones,2097.24
6,Fan,Home,Fan,405.1
7,Fan,Home,Fan,4533.71
8,Monitor,Electronics,Monitor,1963.87
9,Camera,Electronics,Camera,1563.2
10,Fan,Home,Fan,2737.28
11,Dress,Clothing,Dress,1175.17
12,Fan,Home,Fan,242.22
13,Magazine,Books,Magazine,3648.49
14,Table,Home,Table,4905.54
15,Headphones,Electronics,Headphones,3000.27
16,Laptop,Electronics,Laptop,3249.47
17,Dress,Clothing,Dress,990.47
18,Magazine,Books,Magazine,1704.03
19,Lamp,Home,Lamp,1753.75
20,Lamp,Home,Lamp,3784.85
21,Lamp,Home,Lamp,4191.06
22,Chair,Home,Chair,3770.22
23,Camera,Electronics,Camera,1198.69
24,Laptop,Electronics,Laptop,3795.74
25,Jeans,Clothing,Jeans,4212.22
26,Jeans,Clothing,Jeans,718.48
27,Monitor,Electronics,Monitor,4744.01
28,Lamp,Home,Lamp,3857.8
29,T-Shirt,Clothing,T-Shirt,3075.51
30,Phone,Electronics,Phone,4827.13
31,Monitor,Electronics,Monitor,225.82
32,COMICS,Books,Comics,3419.0
33,Fan,Home,Fan,4713.21
34,Shirt,Clothing,Shirt,3001.28
35,Shirt,Clothing,Shirt,3516.25
36,Comics,Books,Comics,4047.09
37,Camera,Electronics,Camera,2710.45
38,Novel,Books,Novel,2579.21
39,Novel,Books,Novel,4262.92
40,Chair,Home,Chair,2224.26
41,Magazine,Books,Magazine,3565.81
42,Table,Home,Table,3695.6
43,Comics,Books,Comics,4060.18
44,Fan,Home,Fan,2234.32
45,Dictionary,Books,Dictionary,4273.39
46,Camera,Electronics,Camera,4419.99
47,Dress,Clothing,Dress,2892.26
48,Lamp,Home,Lamp,240.63
49,Biography,Books,Biography,2488.99
50,Dictionary,Books,Dictionary,1767.66
51,Comics,Books,Comics,149.74
52,Shirt,Clothing,Shirt,1282.64
53,Fan,Home,Fan,2820.36
54,Dress,Clothing,Dress,3264.92
55,Fan,Home,Fan,3985.37
56,Camera,Electronics,Camera,1185.82
57,Jacket,Clothing,Jacket,3353.4
58,Magazine,Books,Magazine,2812.02
59,Magazine,Books,Magazine,4983.49
60,Dictionary,Books,Dictionary,3543.99
61,dictionary,Books,Dictionary,1331.88
62,Phone,Electronics,Phone,1646.18
63,Jeans,Clothing,Jeans,1160.28
